Season,Name,Team,playerid
1887,Jim Whitney,Nationals,1013908
1896,Nig Cuppy,Spiders,1002884
1971,Jim Kaat,Twins,1006660
1944,Jack Kramer,Browns,1007137
1992,Melido Perez,Yankees,1010183
1996,Jeff Fassero,Expos,279
2005,Mark Buehrle,White Sox,225
1887,Silver King,Browns,1006943
1972,Tom Bradley,White Sox,1001316
1961,Frank Lary,Tigers,1007364
2013,Anibal Sanchez,Tigers,3284
1968,Juan Marichal,Giants,1008106
2010,Jered Weaver,Angels,4235
1984,Mike Witt,Angels,1014174
1975,Andy Messersmith,Dodgers,1008799
2018,Patrick Corbin,Diamondbacks,9323
1964,Jim O'Toole,Reds,1009897
1985,Mike Moore,Mariners,1009122
1988,Teddy Higuera,Brewers,1005799
1978,Gaylord Perry,Padres,1010210
1991,Greg Maddux,Cubs,104
1896,Clark Griffith,Colts,1005038
1908,Addie Joss,Naps,1006630
1964,Bob Gibson,Cardinals,1004662
2018,Trevor Bauer,Indians,12703
1983,John Denny,Phillies,1003210
1991,Tom Candiotti,- - -,1001911
1887,Ed Seward,Athletics,1011763
2003,Tim Hudson,Athletics,921
1874,George Zettlein,White Stockings,1014433
2009,CC Sabathia,Yankees,404
1923,George Uhle,Indians,1013266
1951,Don Newcombe,Dodgers,1009529
1891,Jack Stivetts,Browns,1012547
2005,Andy Pettitte,Astros,840
1876,Al Spalding,White Stockings,1012300
1887,Phenomenal Smith,Orioles,1012192
1893,Amos Rusie,Giants,1011308
1919,Babe Adams,Pirates,1000041
1921,Stan Coveleski,Indians,1002682
1970,Ken Holtzman,Cubs,1005989
1959,Don Drysdale,Dodgers,1003516
1926,George Uhle,Indians,1013266
2001,Andy Pettitte,Yankees,840
1886,Bob Caruthers,Browns,1002026
1956,Billy Pierce,White Sox,1010326
1990,Frank Viola,Mets,1013435
1875,Al Spalding,Red Stockings,1012300
1963,Don Drysdale,Dodgers,1003516
1907,Cy Young,Americans,1014369
1884,Hardie Henderson,Orioles,1005632
1892,Gus Weyhing,Phillies,1013820
1961,Whitey Ford,Yankees,1004227
1903,Deacon Phillippe,Pirates,1010287
1919,Eddie Cicotte,White Sox,1002236
1899,Kid Nichols,Beaneaters,1009564
1968,Tom Seaver,Mets,1011708
1982,Len Barker,Indians,1000546
1977,Frank Tanana,Angels,1012818
2011,CC Sabathia,Yankees,404
1906,Cy Young,Americans,1014369
1906,Bob Ewing,Reds,1003880
1937,Claude Passeau,Phillies,1010046
2004,Roger Clemens,Astros,815
2006,Aaron Harang,Reds,1451
1975,Catfish Hunter,Yankees,1006199
1889,Charlie Buffinton,Quakers,1001634
1998,Pedro Martinez,Red Sox,200
1903,Cy Young,Americans,1014369
1890,Gus Weyhing,Ward's Wonders,1013820
1973,Gaylord Perry,Indians,1010210
1905,Eddie Plank,Athletics,1010385
1929,Watty Clark,Robins,1002315
1885,Jim Whitney,Beaneaters,1013908
1941,Bob Feller,Indians,1003975
1924,Howard Ehmke,Red Sox,1003707
1884,Bob Emslie,Orioles,1003772
2015,Dallas Keuchel,Astros,9434
1977,Ron Guidry,Yankees,1005124
1962,Sandy Koufax,Dodgers,1007124
1875,George Zettlein,- - -,1014433
2007,Josh Beckett,Red Sox,510
1921,Sam Jones,Red Sox,1006589
2019,Stephen Strasburg,Nationals,10131
1967,Jim Lonborg,Red Sox,1007724
1954,Harvey Haddix,Cardinals,1005184
1897,Ted Breitenstein,Reds,1001383
1915,Dick Rudolph,Braves,1011284
1895,Nig Cuppy,Spiders,1002884
1963,Bob Friend,Pirates,1004355
1908,Mordecai Brown,Cubs,1001547
2001,Mark Mulder,Athletics,932
1951,Larry Jansen,Giants,1006358
1952,Bob Rush,Cubs,1011307
1920,Wilbur Cooper,Pirates,1002602
1896,Frank Killen,Pirates,1006904
2001,Roger Clemens,Yankees,815
1905,Irv Young,Beaneaters,1014380
2003,Curt Schilling,Diamondbacks,73
1939,Claude Passeau,- - -,1010046
1914,Earl Moseley,Hoosiers,1009239
2014,Felix Hernandez,Mariners,4772
1974,Andy Messersmith,Dodgers,1008799
1954,Virgil Trucks,White Sox,1013203
2016,Max Scherzer,Nationals,3137
1989,Orel Hershiser,Dodgers,1005741
1971,Pat Dobson,Orioles,1003345
2015,Chris Sale,White Sox,10603
1964,Jim Bunning,Phillies,1001653
2019,Shane Bieber,Indians,19427
1972,Tom Seaver,Mets,1011708
1999,Greg Maddux,Braves,104
1987,Jimmy Key,Blue Jays,1006885
2010,Francisco Liriano,Twins,3201
1908,Rube Waddell,Browns,1013467
1910,Mordecai Brown,Cubs,1001547
1905,Deacon Phillippe,Pirates,1010287
1914,Claude Hendrix,Chi-Feds,1005638
2013,Cliff Lee,Phillies,1636
1964,Chris Short,Phillies,1011931
1984,Dave Stieb,Blue Jays,1012532
1961,Jim O'Toole,Reds,1009897
2017,Luis Severino,Yankees,15890
2014,David Price,- - -,3184
1950,Warren Spahn,Braves,1012299
2014,Max Scherzer,Tigers,3137
2006,Jeremy Bonderman,Tigers,1667
1882,Jim Whitney,Red Caps,1013908
1906,Jack Chesbro,Highlanders,1002179
1918,Eddie Cicotte,White Sox,1002236
1986,Kirk McCaskill,Angels,1008382
1950,Larry Jansen,Giants,1006358
1996,Ken Hill,Rangers,1005827
2015,Corey Kluber,Indians,2429
1882,Charley Radbourn,Grays,1010631
1927,Dazzy Vance,Robins,1013342
1978,Vida Blue,Giants,1001094
1897,Cy Young,Spiders,1014369
1907,Bob Ewing,Reds,1003880
1949,Don Newcombe,Dodgers,1009529
1921,Red Faber,White Sox,1003889
1940,Bobo Newsom,Tigers,1009546
1936,Wes Ferrell,Red Sox,1004010
1993,Mark Langston,Angels,1007323
1967,Gaylord Perry,Giants,1010210
1987,Orel Hershiser,Dodgers,1005741
1889,Elton Chamberlain,Browns,1002122
1952,Billy Pierce,White Sox,1010326
1917,Hippo Vaughn,Cubs,1013384
1977,Jim Palmer,Orioles,1009973
1914,George Suggs,Terrapins,1012673
1942,Tex Hughson,Red Sox,1006169
2001,Pedro Martinez,Red Sox,200
1942,Johnny Vander Meer,Reds,1013350
1968,Gaylord Perry,Giants,1010210
1969,Claude Osteen,Dodgers,1009878
