Season,Name,Team,playerid
1976,Tom Murphy,- - -,1009376
2016,Drew VerHagen,Tigers,13424
1927,Chet Nichols,Pirates,1009556
1912,Joe Vernon,Cubs,1013415
2018,Emilio Pagan,Athletics,14771
1954,Vito Valentinetti,White Sox,1013330
1943,Al Milnar,- - -,1008962
1961,John Papa,Orioles,1009982
1991,Doug Sisk,Braves,1012017
1994,Rod Henderson,Expos,1005635
1905,Jim McGinley,Cardinals,1008526
1997,Bill Simas,White Sox,1011977
1977,Ramon Hernandez,- - -,1005710
1983,Ernie Camacho,Indians,1001856
1982,Randy Stein,Cubs,1012471
1911,Barney Schreiber,Reds,1011610
1990,Paul Gibson,Tigers,1004671
1885,Frank Hankinson,Metropolitans,1005310
1981,Dan Larson,Phillies,1007361
1946,Tommy Byrne,Yankees,1001801
1960,Billy Hoeft,Orioles,1005893
2007,Jae Seo,Devil Rays,895
2013,Thad Weber,- - -,8036
2009,Sean Henn,- - -,2147
2008,R.A. Dickey,Mariners,1245
1979,Steve Busby,Royals,1001745
2013,Rubby de la Rosa,Red Sox,3862
1921,Bill Barrett,Athletics,1000592
1949,Ralph Buxton,Yankees,1001786
2019,Sam Coonrod,Giants,17264
1917,Bruce Hitt,Cardinals,1005862
2003,Justin Wayne,Marlins,803
1988,Chris Codiroli,Indians,1002388
1913,Bill Hopper,Cardinals,1006019
2004,C.J. Nitkowski,- - -,570
1955,Al Grunwald,Pirates,1005109
1995,Scott Ruffcorn,White Sox,1011293
1922,Red Shea,Giants,1011837
1997,Turk Wendell,- - -,975
1997,Ryan Nye,Phillies,1009668
1952,Johnny Kucab,Athletics,1007194
2007,Jason Miller,Twins,3104
1923,Tige Stone,Cardinals,1012574
1967,Arnold Earley,Astros,1003626
1993,Tony Menendez,Pirates,1008764
1990,Mike Dunne,Padres,1003570
1956,Jim Constable,Giants,1002546
2004,Mike Gosling,Diamondbacks,2204
2006,Victor Zambrano,Mets,1237
2006,Ricardo Rincon,Cardinals,401
2001,Ron Mahay,Cubs,290
2012,Tyler Skaggs,Diamondbacks,10190
2004,Nelson Figueroa,Pirates,683
1952,Wayne McLeland,Tigers,1008623
1989,Don August,Brewers,1000364
2002,Brian Fitzgerald,Mariners,1445
1991,Jeff Kaiser,Tigers,1006674
2019,Dovydas Neverauskas,Pirates,11604
2005,Justin Thompson,Rangers,8217
2001,Luis Pineda,Tigers,346
2015,A.J. Schugel,Diamondbacks,11432
1985,Tommy Boggs,Rangers,1001123
1983,Bob Tufts,Royals,1013217
1996,Bryan Rekar,Rockies,625
1996,Todd Frohwirth,Angels,1004374
2009,Jesse Litsch,Blue Jays,3688
1990,Jimmy Jones,Yankees,1006569
1948,Mickey McGowan,Giants,1008539
1973,Darold Knowles,Athletics,1007058
1939,Jim Henry,Phillies,1005673
1956,Steve Gromek,Tigers,1005080
1975,Jackie Brown,- - -,1001522
2020,Dovydas Neverauskas,Pirates,11604
2010,Tim Byrdak,Astros,1995
1910,Bill Grahame,Browns,1004925
1918,Charley Hall,Tigers,1005239
1967,Fred Newman,Angels,1009542
2011,Mitch Stetter,Brewers,5579
1914,Hi Jasper,White Sox,1006366
2019,Sam Selman,Giants,13397
2002,Matt Childers,Brewers,1563
1998,Jamie Walker,Royals,502
2014,Brian Duensing,Twins,4064
2018,Dillon Peters,Marlins,18790
2017,James Shields,White Sox,7059
2018,Carlos Torres,Nationals,7624
1925,Tink Riviere,White Sox,1011007
1961,Turk Lown,White Sox,1007793
2007,John Rheinecker,Rangers,2165
1991,Jeff Russell,Rangers,1011314
1916,Rube Bressler,Athletics,1001398
2005,Scott Strickland,Astros,897
2020,Ashton Goudeau,Rockies,15139
1996,Rich DeLucia,Giants,1003185
2020,Yoshihisa Hirano,Mariners,19756
1957,Steve Gromek,Tigers,1005080
1964,Bill Faul,Tigers,1003957
2014,Dario Alvarez,Mets,14239
1944,Hank Miklos,Cubs,1008853
1995,Paul Fletcher,Phillies,1004153
2015,Tanner Roark,Nationals,8753
1971,Rich Hand,Indians,1005301
1999,Bryan Ward,White Sox,1013603
1990,Efrain Valdez,Indians,1013311
1907,Bull Durham,Senators,1003587
1987,Brian Holton,Dodgers,1005986
2011,Jeff Stevens,Cubs,3367
1926,Jimmy Uchrinscko,Senators,1013261
1962,Ron Piche,Braves,1010308
1998,Adam Butler,Braves,1001768
1982,Doug Corbett,- - -,1002608
2014,Josh Stinson,Orioles,3219
1983,Randy Niemann,Pirates,1009589
2000,Trey Moore,Expos,1009130
1974,Mike Paul,Cubs,1010082
1997,Rene Arocha,Giants,1000325
1972,Jan Dukes,Rangers,1003544
2020,Tucker Davidson,Braves,19871
1951,Paul Hinrichs,Red Sox,1005848
1963,Ed Hobaugh,Senators,1005867
1994,Scott Lewis,Angels,1007588
1954,Jay Heard,Orioles,1005550
1946,Vic Johnson,Indians,1006510
1962,John Boozer,Phillies,1001194
1890,Bill Gleason,Infants,1004765
1976,Chip Lang,Expos,1007313
1976,Al Autry,Braves,1000375
1967,John Upham,Cubs,1013289
2005,Tyler Walker,Giants,901
1961,Dick Drott,Cubs,1003511
1987,Paul Assenmacher,Braves,1000344
2001,Rocky Coppinger,Brewers,1002604
2001,Justin Duchscherer,Rangers,910
1942,Bob Savage,Athletics,1011466
1985,Bob Patterson,Padres,1010055
1995,Doug Brocail,Astros,551
2009,John Bale,Royals,864
2015,Andrew Albers,Blue Jays,7853
2015,Samuel Deduno,Astros,5285
1913,Win Noyes,Braves,1009656
1921,Cy Morgan,Braves,1009175
1972,Ron Perranoski,- - -,1010201
2015,J.R. Graham,Twins,12042
2010,Sammy Gervacio,Astros,5127
1919,Socks Seibold,Athletics,1011728
1986,Frank DiPino,- - -,1003320
1993,Albie Lopez,Indians,102
1932,Archie Wise,White Sox,1014150
1975,Mickey Scott,Angels,1011690
2015,Toru Murata,Indians,11652
2008,Elmer Dessens,Braves,317
2006,Jay Witasick,Athletics,1138
2004,Joe Horgan,Expos,2304
1964,Fritz Ackley,White Sox,1000032
1992,Jeff Shaw,Indians,1011823
1991,Jeff Brantley,Giants,1001358
1952,Mario Picone,Giants,1010321
2015,David Huff,Dodgers,4257
1922,Nellie Pott,Indians,1010473
2008,Kyle Snyder,Red Sox,1689
1934,Ed Holley,- - -,1005953
1929,Joe Dawson,Pirates,1003092
1887,George Pechiney,Blues,1010113
2000,Russ Springer,Diamondbacks,1652
1995,Jeremy Hernandez,Marlins,1005705
1932,Ed Edelen,Senators,1003665
2018,Stephen Gonsalves,Twins,15492
2011,Maikel Cleto,Cardinals,5529
1912,La Rue Kirby,Giants,1006963
1997,Jim Converse,Royals,1002549
1996,Matt Mantei,Marlins,64
1994,Rich Robertson,Pirates,1011045
1886,Emmett Seery,Maroons,1011721
2009,Kevin Mulvey,- - -,6947
2005,Brian Tallet,Indians,1646
1993,Steve Howe,Yankees,1006107
2000,Steve Rain,Cubs,1010657
2009,Javier Lopez,Red Sox,1663
1965,Dennis Ribant,Mets,1010890
1928,Stan Coveleski,Yankees,1002682
2015,Manny Banuelos,Braves,5365
1999,Onan Masaoka,Dodgers,1008209
1917,Rube Parnham,Athletics,1010018
1954,Jim Willis,Cubs,1014006
2017,Jeff Beliveau,Blue Jays,8504
2000,Rusty Meacham,Astros,1008702
1917,Molly Craft,Senators,1002719
1974,George Culver,Phillies,1002870
2020,Jakob Junis,Royals,13619
1997,Donn Pall,Marlins,1009968
1945,Loren Bain,Giants,1000435
1951,Leo Cristante,Phillies,1002778
2003,Ryan Rupe,Red Sox,1223
2018,AJ Ramos,Mets,8350
1979,Buddy Schultz,Cardinals,1011627
1895,John Gilroy,Senators,1004737
2007,Devern Hansack,Red Sox,4939
1954,Dick Donovan,Tigers,1003395
2001,Mike Johnson,Expos,1006487
1989,Dave Schmidt,Orioles,1011580
1933,Jack Berly,Phillies,1000884
2007,Tom Gordon,Phillies,282
1904,Pat Carney,Beaneaters,1001975
2004,Dave Maurer,Blue Jays,394
1883,Pete Fries,Buckeyes,1004360
2013,Nick Hagadone,Indians,1351
1973,Tommy Moore,Mets,1009129
1935,Woody Upchurch,Athletics,1013287
2018,Justin Haley,Red Sox,13572
1929,Ed Carroll,Red Sox,1002001
1989,Logan Easley,Pirates,1003634
1950,Frank Papish,Pirates,1009985
1898,Bill Duggleby,Phillies,1003542
1999,Steve Falteisek,Brewers,1003919
2014,Sam LeCure,Reds,4664
2003,Dave Manning,Brewers,1785
1995,Rick Reed,Reds,750
1987,Rich Bordi,Yankees,1001199
1944,Bob Gillespie,Tigers,1004708
1969,Ray Lamb,Dodgers,1007278
1985,Bill Wilkinson,Mariners,1013953
1928,Jim Beckman,Reds,1000756
2008,Scott Proctor,Dodgers,1911
1994,Russ Swan,Indians,1012758
1943,Bill Webb,Blue Jays,1013707
2011,Brian Burres,Pirates,3425
1995,Mike Myers,- - -,68
2020,Shaun Anderson,Giants,19453
1970,Hal Haydel,Twins,1005520
2010,Jenrry Mejia,Mets,8476
1939,Wes Ferrell,Yankees,1004010
1932,Hank Johnson,Yankees,1006461
2019,Marco Estrada,Athletics,1118
2019,Conner Menez,Giants,19199
1981,Dan Boitano,Mets,1001132
1984,Dwayne Henry,Rangers,1005670
1987,Joe Boever,Braves,1001118
2016,James Hoyt,Astros,14605
2012,Ryan Perry,Nationals,8799
1955,Floyd Wooldridge,Cardinals,1014251
1945,Ewald Pyle,- - -,1010582
2016,Adam Loewen,Diamondbacks,2134
1913,Jack Coombs,Athletics,1002583
1992,Eric Gunderson,Mariners,1005144
1969,Bill Lee,Red Sox,1007448
1991,Cliff Young,Angels,1014367
1915,Herb Pennock,- - -,1010161
1999,Derek Wallace,Royals,1013544
2004,Matt Guerrier,Twins,2061
2020,Sterling Sharp,Marlins,19671
1905,Del Howard,Pirates,1006076
2004,Nick Regilio,Rangers,2226
2005,Mike Esposito,Rockies,4986
2017,Zach Neal,Athletics,11294
1995,Brad Pennington,- - -,1010159
1881,Tony Mullane,Wolverines,1009291
2016,Sam Freeman,Brewers,6832
2014,Addison Reed,Diamondbacks,10586
1921,Babe Ruth,Yankees,1011327
1977,Tom Buskey,Indians,1001759
1988,Drew Hall,Cubs,1005242
2013,Jose Ortega,Tigers,9651
1915,Bill Herring,Tip-Tops,1005727
1978,Bob James,Expos,1006345
1905,Jake Volz,Beaneaters,1013450
1931,Mark Koenig,Tigers,1007077
1990,Randy Nosek,Tigers,1009649
2018,Justin Shafer,Blue Jays,16132
1972,Juan Pizarro,Cubs,1010382
2020,Tyler Bashlor,Pirates,15203
1906,Ambrose Puttmann,Cardinals,1010578
1977,Tom Walker,- - -,1013536
1985,Dave Beard,Cubs,1000716
1949,Denny Galehouse,Red Sox,1004443
1997,Carlos Reyes,Athletics,1721
1962,Jim Hannan,Senators,1005316
1909,Bill Forman,Senators,1004231
1983,Don Hood,Royals,1005994
1985,Jose Roman,Indians,1011166
2009,Vladimir Nunez,Braves,532
2013,Tommy Layne,Padres,7501
2011,Jeff Gray,- - -,7718
1969,Dennis Higgins,Senators,1005788
1946,Rufe Gentry,Tigers,1004616
1960,Hank Mason,Phillies,1008219
1996,Jeff Granger,Royals,1004944
1951,Bob Habenicht,Cardinals,1005174
2020,Nick Goody,Rangers,13685
1958,Bob Smith,Pirates,1012101
1946,Hal Manders,- - -,1008053
2012,Collin McHugh,Mets,7531
1995,Reid Cornelius,- - -,1002634
1980,Dennis Martinez,Orioles,1008161
1935,Italo Chelini,White Sox,1002175
1965,Stan Williams,Indians,1014039
1946,Frank Barrett,Braves,1000595
1997,Tanyon Sturtze,Rangers,1230
1935,Henry Coppola,Senators,1002605
1954,Alex Konikowski,Giants,1007095
2000,Sean DePaula,Indians,377
1996,Pedro Martinez,- - -,1008190
1886,Tom Sullivan,Colonels,1012714
1989,Alex Madrid,Phillies,1007958
1975,Eddie Solomon,Cubs,1012268
2020,Alex Young,Diamondbacks,18333
1999,Marino Santana,Red Sox,1011439
1998,Sean Lawrence,Pirates,1007400
1981,Reggie Patterson,White Sox,1010070
1927,Chet Falk,Browns,1003912
2013,Jose Contreras,Pirates,1660
2015,David Carpenter,Braves,9244
1907,Beany Jacobson,- - -,1006317
2009,Alan Embree,Rockies,1030
2015,Steve Johnson,Orioles,4053
1943,Bill Lefebvre,Senators,1007472
2007,Levale Speigner,Nationals,5717
1957,Ed Blake,Athletics,1001035
1970,Roger Nelson,Royals,1009511
2008,Joaquin Benoit,Rangers,1437
1973,Lynn McGlothen,Red Sox,1008534
2016,Spencer Patton,Cubs,12361
1959,Tom Hughes,Cardinals,1006167
1959,Bud Byerly,Giants,1001789
1933,Howard Craghead,Indians,1002720
2016,Darwin Barney,Blue Jays,2430
1999,Doug Davis,Rangers,1244
2015,Dana Eveland,Braves,5508
1946,Bill Kennedy,Senators,1006833
2000,Matt Skrmetta,- - -,1012044
2018,Christian Bergman,Mariners,10925
1995,Tim Van Egmond,Red Sox,1013354
1965,Grant Jackson,Phillies,1006298
2010,Sean White,Mariners,5564
2003,Brad Voyles,Royals,1490
1967,Dennis Bennett,- - -,1000838
1975,Danny Frisella,Padres,1004365
1977,Frank MacCormack,Mariners,1007898
2001,Christian Parker,Yankees,1009998
2013,Hector Rondon,Cubs,2391
2004,Brian Falkenborg,Dodgers,1859
1943,Dutch Dietz,- - -,1003291
1924,Jim Bishop,Phillies,1000992
1993,Kerry Taylor,Padres,1012881
1955,Bill Miller,Orioles,1008873
1918,Jean Dubuc,Red Sox,1003519
2005,Tanyon Sturtze,Yankees,1230
1982,Larry Rothschild,Tigers,1011245
1979,Mark Fidrych,Tigers,1004023
1966,Gary Wagner,Phillies,1013481
1980,Mark Souza,Athletics,1012294
1980,Rawly Eastwick,Royals,1003648
2015,A.J. Achter,Twins,11387
2019,Clayton Richard,Blue Jays,3551
1955,Lee Wheat,Athletics,1013825
2010,Rommie Lewis,Blue Jays,3588
2017,Evan Scribner,Mariners,7525
1969,Joe Gibbon,- - -,1004658
1989,Jeff Robinson,Tigers,1011073
1996,Vaughn Eshelman,Red Sox,1003825
2003,Anthony Ferrari,Expos,1733
1984,Keith Comstock,Twins,1002491
2014,Lucas Harrell,Astros,7541
2002,Bobby Jones,- - -,1454
2010,David Huff,Indians,4257
1969,Wally Wolf,Angels,1014198
2006,Randy Keisler,Athletics,830
2008,Chris Resop,Braves,3799
2000,Mark Thompson,Cardinals,1013019
1946,Frank Hiller,Yankees,1005814
1978,Doug Capilla,Reds,1001926
1999,Derrin Ebert,Braves,1003654
1998,Brian Shouse,Red Sox,630
1917,Lou North,Cardinals,1009642
1998,Eddie Gaillard,Devil Rays,1004431
2010,Sean Green,Mets,3001
1943,Tom Sunkel,Giants,1012727
1913,Joe Willis,Cardinals,1014009
1987,Tom Waddell,Indians,1013468
2017,Jose De Leon,Rays,15463
1888,Jack McGeachy,Hoosiers,1008505
1979,Bob Babcock,Rangers,1000394
1963,Jack Hamilton,Phillies,1005274
2003,Victor Alvarez,Dodgers,1559
2017,Wilmer Font,Dodgers,5257
1992,Dennis Powell,Mariners,1010484
2008,Bobby Korecky,Twins,4608
1977,John Caneira,Angels,1001912
1958,Ken Johnson,Athletics,1006477
2006,Seth McClung,Devil Rays,1657
1920,Paul Carter,Cubs,1002021
1963,Fred Newman,Angels,1009542
1998,Matt Ruebel,Devil Rays,1011289
1967,Jim Bouton,Yankees,1001241
1974,John Morlan,Pirates,1009191
1942,Jim Hickey,Braves,1005770
1962,Bill Faul,Tigers,1003957
2003,Luis Martinez,Brewers,1823
1878,Russ McKelvy,Blues,1008590
1989,Kevin Appier,Royals,3
1972,Mike Kilkenny,- - -,1006901
2002,Charles Nagy,Indians,397
1930,Phil Page,Tigers,1009955
2002,Shane Loux,Tigers,1613
1962,Tex Clevenger,Yankees,1002348
1973,Hank Webb,Mets,1013710
2013,Shairon Martis,Twins,6781
1972,Tom Burgmeier,Royals,1001668
1955,Red Swanson,Pirates,1012762
1945,Frank Dasso,Reds,1003001
2000,Tim Young,Red Sox,1014392
2001,Jim Parque,White Sox,250
2002,Kevin Beirne,Dodgers,638
1969,Lloyd Allen,Angels,1000152
2015,Ian Krol,Tigers,10066
1905,Dick Harley,Beaneaters,1005368
2019,Ryan Eades,- - -,14808
1980,Dale Murray,Expos,1009383
2016,Jim Henderson,Mets,6653
1938,Buck Marrow,Dodgers,1008130
2009,Jimmy Gobble,White Sox,1791
2017,Kevin Plawecki,Mets,13807
1942,Joe Krakauskas,Indians,1007134
1898,Jack Stivetts,Beaneaters,1012547
2018,Chris Gimenez,- - -,7324
2020,Bryan Shaw,Mariners,8110
2017,Jacob Rhame,Mets,15267
2011,Greg Reynolds,Rockies,5712
2009,Brent Leach,Dodgers,4576
2014,Nate Adcock,Rangers,3282
1960,Bob Duliba,Cardinals,1003546
2011,David Purcey,- - -,8360
1909,Russ Ford,Highlanders,1004223
2009,Mike Gosling,Indians,2204
2019,Sean Gilmartin,Orioles,12781
2018,Tyler Lyons,Cardinals,11334
2010,Justin Germano,Indians,1938
2001,Juan Moreno,Rangers,1465
2004,Jose Valverde,Diamondbacks,1726
2018,Kyle McGrath,Padres,16793
1992,Heathcliff Slocumb,Cubs,1012069
2007,Jason Standridge,Royals,1229
2004,Joe Valentine,Reds,1810
2003,Scott Downs,Expos,773
2019,Alex Wood,Reds,13781
1996,Frank Viola,Blue Jays,1013435
1983,Manny Castillo,Mariners,1002065
2019,Wade Davis,Rockies,7441
1984,Gorman Heimueller,Athletics,1005592
1885,Doug Crothers,Metropolitans,1002811
1977,Mike Cuellar,Angels,1002853
2002,Juan Moreno,Padres,1465
1974,Bill Stoneman,Angels,1012560
2015,Jose Valdez,Tigers,14470
1988,John Trautwein,Red Sox,1013159
1927,Fay Thomas,Giants,1012973
2018,Sammy Solis,Nationals,11457
1990,Mike Rochford,Red Sox,1011090
1878,Jack Manning,Red Caps,1008065
2016,Paul Clemens,- - -,8037
2020,Hansel Robles,Angels,11801
2013,Derek Lowe,Rangers,199
2010,Marco Estrada,Brewers,1118
2013,Brandon Morrow,Blue Jays,9346
2006,Todd Wellemeyer,- - -,1709
2003,Chad Harville,Athletics,915
2017,Alex Wimmers,Twins,11394
1953,Hal Newhouser,Tigers,1009535
1997,Salomon Torres,- - -,1628
1979,Bill Paschall,Royals,1010037
1902,Bill Salisbury,Phillies,1011381
1979,George Frazier,Cardinals,1004308
1958,Jack Spring,Senators,1012362
2001,Jason Standridge,Devil Rays,1229
1991,John Kiely,Tigers,1006894
1959,Al Cicotte,Indians,1002235
2016,Shawn Morimando,Indians,13606
1969,John Morris,Pilots,1009219
1923,Harry Harper,Robins,1005379
2005,Allan Simpson,- - -,1864
1953,Tom Qualters,Phillies,1010588
1940,Lefty Hoerst,Phillies,1005896
1982,Rick Ownbey,Mets,1009926
1915,Dana Fillingim,Athletics,1004045
2009,Rich Thompson,Angels,6422
2016,Kelvin Marte,Pirates,5200
2013,Cory Gearrin,Braves,7947
2019,Joe Harvey,- - -,16459
2001,Anthony Telford,Expos,1282
2001,Troy Mattes,Expos,1008252
2012,Kyle Waldrop,Twins,7513
2013,Pat Neshek,Athletics,4682
1979,John Denny,Cardinals,1003210
2014,Nick Greenwood,Cardinals,8182
1965,Dave Eilers,- - -,1003715
2018,Dillon Maples,Cubs,14672
2009,Walter Silva,Padres,5157
1938,Bill Lefebvre,Red Sox,1007472
2000,Marc Wilkins,Pirates,1013959
2007,Jason Vargas,Mets,8044
2012,Joe Savery,Phillies,2835
2018,Tyler Webb,- - -,14974
1990,Al Nipper,Indians,1009602
2008,Yasuhiko Yabuta,Royals,3277
2003,Cory Vance,Rockies,1647
1995,Steve Wojciechowski,Athletics,1014181
1971,Sal Campisi,Twins,1001897
2015,Christopher Rearick,Padres,11050
1907,Doc Tonkin,Senators,1013117
1932,Jack Ogden,Reds,1009743
1970,Pedro Borbon,Reds,1001195
2005,Kevin Jarvis,Cardinals,1037
1949,Alex Carrasquel,White Sox,1001983
1943,Sam Lowry,Athletics,1007797
1905,Charlie Jackson,Tigers,1006291
2006,Mike Adams,Brewers,1937
2002,Reynaldo Garcia,Rangers,1557
2003,Steve Reed,Rockies,1053
1922,Joe Matthews,Braves,1008256
1996,Joe Boever,Pirates,1001118
1982,Doug Sisk,Mets,1012017
1949,Ken Johnson,Cardinals,1006476
1960,Ray Blemker,Athletics,1001069
1987,Ken Schrom,Indians,1011620
2009,Radhames Liz,Orioles,5843
1927,Virgil Cheeves,Giants,1002174
2008,Erick Threets,Giants,3158
2008,Daryl Thompson,Reds,6603
2016,Antonio Bastardo,- - -,8844
2009,Rafael Rodriguez,Angels,6417
1998,Richie Lewis,Orioles,1007587
1901,Dick Scott,Reds,1011674
1948,Al Papai,Cardinals,1009981
2000,Juan Guzman,Devil Rays,1005162
1945,Rene Monteagudo,Phillies,1009067
1907,George Craig,Athletics,1002721
1976,Ken Sanders,- - -,1011417
1914,Pete Henning,Packers,1005657
1974,Steve Blass,Pirates,1001058
1975,Bob Gibson,Cardinals,1004662
1977,Terry Cornutt,Giants,1002635
2012,Kevin Gregg,Orioles,1793
1899,Mike Donlin,Perfectos,1003380
2002,Chad Durbin,Royals,1442
2010,Sandy Rosario,Marlins,1525
1975,Ed Sprague,Brewers,1012355
2005,Kevin Gryboski,- - -,91
2010,Jack Taschner,- - -,2766
2018,Mike Dunn,Rockies,9948
2015,Alex Meyer,Twins,12833
2019,Austin Adams,- - -,7411
2012,Brad Hand,Marlins,9111
1969,Jose Santiago,Red Sox,1011443
2010,Greg Smith,Rockies,3455
2004,Geoff Geary,Phillies,1813
1976,Charlie Williams,Giants,1013980
1995,Vicente Palacios,Cardinals,1009965
1914,Fin Wilson,Tip-Tops,1014075
1930,Joe Samuels,Tigers,1011399
1959,Dom Zanni,Giants,1014417
2009,Santiago Casilla,Athletics,2873
2011,Ryan Mattheus,Nationals,7169
1953,Tommy Byrne,- - -,1001801
1985,Luis Leal,Blue Jays,1007431
1975,Ray Corbin,Twins,1002614
1912,Len Madden,Cubs,1007943
2019,Caleb Ferguson,Dodgers,19349
1916,Grover Lowdermilk,- - -,1007784
1995,Jim Deshaies,Phillies,1003228
1982,Darrell Jackson,Twins,1006294
2005,Mike Koplove,Diamondbacks,63
1932,Carroll Yerkes,Cubs,1014339
2016,Joel De La Cruz,Braves,12825
2007,Paul Shuey,Orioles,406
2019,Bryse Wilson,Braves,19990
1910,Marv Peasley,Tigers,1010112
1973,Bob Miller,- - -,1008877
2018,Jhan Marinez,Orioles,5830
2010,Chris Seddon,Mariners,3833
1971,Jim Panther,Athletics,1009980
1989,Pat Clements,Padres,1002339
2010,Shawn Kelley,Mariners,7773
1911,Blaine Thomas,Red Sox,1012965
1987,Craig Lefferts,- - -,1007476
1998,David West,Red Sox,1013799
2014,Gus Schlosser,Braves,12321
1970,Vince Colbert,Indians,1002408
2001,Bobby Chouinard,Rockies,1002204
2002,Steve Kent,Devil Rays,1218
1994,Mark Thompson,Rockies,1013019
2014,Evan Scribner,Athletics,7525
1955,George Spencer,Giants,1012322
2001,Grant Balfour,Twins,718
1947,Lou Knerr,Senators,1007033
1964,Bill Pleis,Twins,1010393
1962,Jerry Casale,Tigers,1002029
2007,Rob Bell,Orioles,1492
1969,Bob Watkins,Astros,1013668
1991,Kirk Dressendorfer,Athletics,1003493
1975,Tommy Moore,- - -,1009129
2006,Jerome Williams,Cubs,1137
2004,Kevin Walker,Giants,1060
1886,Jimmy Ryan,White Stockings,1011341
2005,Chad Fox,Cubs,684
1977,Steve Dunning,Athletics,1003572
1984,Jeff Bettendorf,Athletics,1000930
1982,Dave Gumpert,Tigers,1005142
1944,Paul O'Dea,Indians,1009723
1918,Deacon Jones,Tigers,1006549
2018,D.J. Snelten,Giants,15949
1915,Chick Davies,Athletics,1003030
1961,Mickey McDermott,- - -,1008448
1974,Chuck Seelbach,Tigers,1011718
2009,Josh Rupe,Rangers,7206
1928,Guy Morrison,Braves,1009207
1997,Hideki Irabu,Yankees,1255
1884,Tom Brown,Buckeyes,1001562
1990,Dean Wilkins,Cubs,1013955
1991,Jamie Moyer,Cardinals,1091
1967,Bill Connors,Mets,1002522
2013,Jose Alvarez,Tigers,5358
1915,Harry Weaver,Athletics,1013698
1931,Jud McLaughlin,Red Sox,1008615
1990,Ernie Camacho,- - -,1001856
1989,Greg Booker,- - -,1001179
2018,Jeff Mathis,Diamondbacks,3448
1943,Boom-Boom Beck,Blue Jays,1000738
1970,Ray Jarvis,Red Sox,1006364
2018,Chris Rowley,Blue Jays,18820
1972,John Morris,Giants,1009219
2014,Nick Christiani,Reds,10332
1991,Wilson Alvarez,White Sox,1193
1999,John Hudek,- - -,1006128
1937,Buck Marrow,Dodgers,1008130
2007,Bruce Chen,Rangers,769
2019,Travis Bergen,Giants,18581
2005,Chris Booker,Reds,2039
1962,Bob Miller,- - -,1008876
1890,John Buckley,Bisons,1001623
1997,Bryan Rekar,Rockies,625
1917,Eddie Bacon,Athletics,1000401
1996,Tanyon Sturtze,Cubs,1230
2015,T.J. House,Indians,9121
2007,John Van Benschoten,Pirates,2228
2010,Jason Bergmann,Nationals,4640
2019,Danny Salazar,Indians,5867
2007,Jailen Peguero,Diamondbacks,2913
1935,Bud Tinning,Cardinals,1013076
1969,Claude Raymond,- - -,1010732
1983,Rick Grapenthin,Expos,1004954
1976,Joe Keener,Expos,1006755
2018,Bobby Wahl,Mets,14832
2004,Armando Almanza,Braves,507
2005,Ryan Glynn,Athletics,686
1964,Tommie Sisk,Pirates,1012018
2000,Jeff D'Amico,Royals,1002961
1991,Brian Drahman,White Sox,1003476
2003,Jon Switzer,Devil Rays,1786
2003,David Sanders,White Sox,1693
1989,Mike Roesler,Reds,1011123
1951,Erv Dusak,- - -,1003600
1996,Rich Sauveur,White Sox,1011465
2017,Joe Jimenez,Tigers,15761
1997,Tim Worrell,Padres,1139
1956,Jackie Collum,Cardinals,1002469
1994,Greg Harris,- - -,1005415
1976,Paul Siebert,Astros,1011950
2020,Brandon Kintzler,Marlins,9939
1964,Alan Koch,- - -,1007068
2010,Joe Smith,Indians,3281
2017,Chase De Jong,Mariners,15036
1913,Bill Lathrop,White Sox,1007375
1995,Pete Walker,Mets,1325
1964,Ron Taylor,Cardinals,1012885
1970,Mel Behney,Reds,1000783
2020,Beau Burrows,Tigers,18873
1904,Jesse Stovall,Tigers,1012585
2000,Manny Aybar,- - -,1107
1962,Marty Kutyna,Senators,1007224
1994,John Frascatore,Cardinals,1004304
1978,Bobby Sprowl,Red Sox,1012367
2003,Luther Hackman,Padres,1155
1962,Larry Sherry,Dodgers,1011883
1988,Mike Mason,Twins,1008221
1997,Jim Crowell,Reds,1928
2004,Joe Borowski,Cubs,267
2019,Shawn Kelley,Rangers,7773
1984,Len Whitehouse,Twins,1013885
1990,Luis Aquino,Royals,1000285
1999,Jim Abbott,Brewers,1000012
2009,Hayden Penn,Marlins,4893
2012,Tommy Hottovy,Royals,7542
1935,Phil Hensiek,Senators,1005679
1888,Jerry Denny,Hoosiers,1003209
1938,Gene Ford,White Sox,1004220
2020,Albert Abreu,Yankees,17485
2002,Scott Chiasson,Cubs,269
1964,Billy Hoeft,Braves,1005893
1897,Charlie Brown,Spiders,1001502
1935,Clyde Hatter,Tigers,1005494
1952,Jack Harshman,Giants,1005435
1972,Bill Gilbreth,Tigers,1004699
1998,Alan Mills,Orioles,1008949
1919,George Dumont,Red Sox,1003547
1967,Aurelio Monteagudo,White Sox,1009063
2018,Hunter Strickland,Giants,7836
2004,Abe Alvarez,Red Sox,6259
2015,Andre Rienzo,Marlins,3507
1981,Bobby Castillo,Dodgers,1002057
2001,John Frascatore,Blue Jays,1004304
1904,John Barthold,Athletics,1000624
1929,Jumbo Elliott,Robins,1003741
2010,Zach Kroenke,Diamondbacks,4383
1990,Kent Mercker,Braves,439
2013,Philip Humber,Astros,8586
